,zone_id,mean,median,max,min,std,range,sum
0,A1,26.078411102294922,25.809795379638672,27.438844680786133,25.255212783813477,0.8651273942850134,2.1836318969726562,104.31364440917969
1,A2,22.775477091471355,22.876127243041992,22.98073387145996,22.46957015991211,0.2204842016399937,0.5111637115478516,68.32643127441406
2,A3,24.260597229003906,24.18909454345703,25.68233871459961,22.81388282775879,0.9452709486224141,2.8684558868408203,145.56358337402344
3,A4,24.5911922454834,24.429187774658203,25.707067489624023,23.799325942993164,0.7441214679619907,1.9077415466308594,98.3647689819336
4,A5,26.454931259155273,26.35851287841797,27.028343200683594,26.074356079101562,0.35205938587695357,0.9539871215820312,105.8197250366211
5,A6,26.802032470703125,26.770774841308594,27.286802291870117,26.255084991455078,0.3323329668611972,1.031717300415039,160.81219482421875
6,A7,28.007938385009766,28.14666748046875,28.479867935180664,27.2585506439209,0.4674615937400898,1.2213172912597656,112.03175354003906
7,A8,28.929744720458984,28.885498046875,29.318035125732422,28.43400764465332,0.2851169210838157,0.8840274810791016,231.43795776367188
8,B1,25.316909790039062,25.373191833496094,25.54987144470215,24.971384048461914,0.23406465345093164,0.5784873962402344,101.26763916015625
9,B10,29.306230024857953,29.128408432006836,30.01505470275879,28.761945724487305,0.4432137211480238,1.2531089782714844,322.3685302734375
10,B11,29.863978068033855,29.898944854736328,31.004785537719727,29.07937240600586,0.538018390265403,1.9254131317138672,358.36773681640625
11,B12,31.4374262491862,31.39946746826172,32.41151809692383,30.501291275024414,0.7803085899666163,1.910226821899414,94.3122787475586
12,B2,22.221073150634766,22.221073150634766,22.59530258178711,21.84684181213379,0.3742303848278753,0.7484607696533203,44.44214630126953
13,B3,23.298421223958332,23.291826248168945,23.637794494628906,22.965646743774414,0.2744428083790757,0.6721477508544922,69.895263671875
14,B4,27.14617919921875,27.22814178466797,27.77042579650879,25.280105590820312,0.5011487200592607,2.4903202056884766,651.50830078125
15,B5,28.26598612467448,28.239961624145508,28.391935348510742,28.166059494018555,0.09403157825430254,0.2258758544921875,84.79795837402344
16,B6,27.258566049429085,27.28150177001953,28.000667572021484,26.655977249145508,0.44703845049324187,1.3446903228759766,354.3613586425781
17,B7,27.649442400251115,27.76786994934082,27.95789337158203,26.987009048461914,0.30493993393474267,0.9708843231201172,193.5460968017578
18,B8,28.789472579956055,28.67360496520996,29.425704956054688,28.38497543334961,0.39176106658798493,1.0407295227050781,115.15789031982422
19,B9,28.289126309481535,28.589521408081055,29.341388702392578,24.950302124023438,1.1884211660970063,4.391086578369141,311.1803894042969
20,C1,25.814610799153645,25.795400619506836,26.37416648864746,25.34161949157715,0.32788579380617516,1.0325469970703125,154.88766479492188
21,C2,24.007911682128906,24.007911682128906,24.007911682128906,24.007911682128906,0.0,0.0,24.007911682128906
22,C3,27.243499755859375,27.300765991210938,27.576013565063477,26.796457290649414,0.282383168673611,0.7795562744140625,108.9739990234375
23,C4,27.261905670166016,27.239938735961914,27.755828857421875,26.877031326293945,0.28473649619617064,0.8787975311279297,218.09524536132812
24,C5,28.762545267740887,28.76910400390625,29.091646194458008,28.359619140625,0.22729513091975348,0.7320270538330078,172.5752716064453
25,C6,28.76313591003418,28.852764129638672,29.41720962524414,27.23625373840332,0.5378046802222356,2.1809558868408203,460.2101745605469
26,D1,27.284224660773027,27.25246810913086,30.4494571685791,25.328208923339844,1.1709446672077874,5.121248245239258,518.4002685546875
27,D10,24.324493408203125,24.196046829223633,25.756420135498047,23.29937171936035,0.6999963263964117,2.4570484161376953,267.5694274902344
28,D11,24.589080810546875,24.207212448120117,25.492568969726562,24.067461013793945,0.6414051014153644,1.4251079559326172,73.76724243164062
