,zone_id,mean_pollen,median_pollen,max_pollen,min_pollen,std_pollen,range_pollen,sum_pollen
0,A1,7.210805892944336,7.224509239196777,7.276266098022461,7.11793851852417,0.06600810431697829,0.15832757949829102,28.843223571777344
1,A2,7.970160166422526,7.916244983673096,8.167132377624512,7.827103614807129,0.1439560996470717,0.3400287628173828,23.910480499267578
2,A3,7.299349466959636,7.290761947631836,7.615950584411621,7.037617206573486,0.19671343022191562,0.5783333778381348,43.79609680175781
3,A4,7.3104448318481445,7.276223659515381,7.603078365325928,7.086254119873047,0.18732740217935656,0.5168242454528809,29.241779327392578
4,A5,6.99813985824585,7.000604629516602,7.025240421295166,6.966110706329346,0.021125570929968605,0.05912971496582031,27.9925594329834
5,A6,6.892683664957683,6.9002227783203125,6.958379745483398,6.803502559661865,0.05599867538494937,0.1548771858215332,41.356101989746094
6,A7,6.785959243774414,6.792911529541016,6.861562728881836,6.696451663970947,0.0593681357633881,0.16511106491088867,27.143836975097656
7,A8,6.929803848266602,6.895567893981934,7.129405498504639,6.851581573486328,0.08874682277391188,0.27782392501831055,55.43843078613281
8,B1,8.3580322265625,8.370546340942383,8.493731498718262,8.197306632995605,0.10794433535880689,0.29642486572265625,33.43212890625
9,B10,6.951440290971235,6.8887786865234375,7.388176441192627,6.823793888092041,0.16313539408594227,0.5643825531005859,76.4658432006836
10,B11,6.909534454345703,6.9248199462890625,6.94283390045166,6.794341564178467,0.039614915667937595,0.14849233627319336,82.91441345214844
11,B12,6.825481414794922,6.830461502075195,6.872641563415527,6.773341655731201,0.04069166729794354,0.09929990768432617,20.476444244384766
12,B2,8.311990737915039,8.311990737915039,8.485374450683594,8.138606071472168,0.1733841896063686,0.3467683792114258,16.623981475830078
13,B3,7.8123118082682295,7.786294460296631,8.012286186218262,7.6383562088012695,0.153760858497741,0.3739299774169922,23.436935424804688
14,B4,6.857779184977214,6.860294342041016,7.050788402557373,6.643492221832275,0.08772485102235342,0.40729618072509766,164.58670043945312
15,B5,6.878089269002278,6.882499694824219,6.893231391906738,6.858537197113037,0.014503094579510337,0.03469419479370117,20.634267807006836
16,B6,6.835154606745793,6.827057838439941,6.967159748077393,6.76708459854126,0.047282923693285156,0.2000751495361328,88.85700988769531
17,B7,6.844798496791294,6.851701736450195,6.867146015167236,6.816979885101318,0.016145404451443066,0.05016613006591797,47.91358947753906
18,B8,6.979090690612793,6.963807106018066,7.06071138381958,6.928039073944092,0.04976004799423127,0.13267230987548828,27.916362762451172
19,B9,7.216750405051491,7.1179609298706055,7.716333866119385,6.874938488006592,0.3336662033312136,0.841395378112793,79.3842544555664
20,C1,8.20062510172526,8.18911075592041,8.333113670349121,8.099321365356445,0.07327555895177464,0.23379230499267578,49.20375061035156
21,C2,8.180899620056152,8.180899620056152,8.180899620056152,8.180899620056152,0.0,0.0,8.180899620056152
22,C3,6.794183731079102,6.801082611083984,6.855031490325928,6.719537734985352,0.050355814824223834,0.13549375534057617,27.176734924316406
23,C4,6.753359317779541,6.7704339027404785,6.809061527252197,6.686699390411377,0.04566463863134828,0.12236213684082031,54.02687454223633
24,C5,6.986619313557942,6.974761009216309,7.07858943939209,6.912254810333252,0.0591123201763178,0.1663346290588379,41.919715881347656
25,C6,7.074979782104492,6.925581932067871,7.718682765960693,6.835970878601074,0.28795041531308424,0.8827118873596191,113.19967651367188
26,D1,7.1630104466488485,7.1948041915893555,7.627632141113281,6.6019110679626465,0.3127559900246889,1.0257210731506348,136.09719848632812
27,D10,8.16276827725497,8.173425674438477,8.447957992553711,7.732057571411133,0.22461759285937272,0.7159004211425781,89.79045104980469
28,D11,7.550882339477539,7.5654072761535645,7.733168601989746,7.354070663452148,0.15510651297955988,0.37909793853759766,22.652647018432617
29,D12,7.47853151957194,7.462040901184082,7.6101884841918945,7.339710235595703,0.10275358509168589,0.2704782485961914,44.87118911743164
30,D13,7.129820929633246,7.0724005699157715,7.5473527908325195,6.836808681488037,0.24284371368897803,0.7105441093444824,64.16838836669922
31,D14,6.92395544052124,6.92395544052124,6.92395544052124,6.92395544052124,0.0,0.0,6.92395544052124
32,D15,7.196736907958984,7.172987461090088,7.402825832366943,7.010557651519775,0.13060623517627407,0.39226818084716797,35.98368453979492
33,D16,6.98983097076416,6.979867935180664,7.073520183563232,6.926067352294922,0.06451833154516606,0.14745283126831055,27.95932388305664
34,D17,6.933411916097005,6.929052352905273,7.00679874420166,6.86547327041626,0.03962763434934463,0.1413254737854004,83.20094299316406
35,D18,6.885381698608398,6.876906871795654,6.9438276290893555,6.849596977233887,0.03103690533117805,0.09423065185546875,41.31229019165039
36,D19,6.895640563964844,6.898618221282959,6.985540390014648,6.8442487716674805,0.044322627554261924,0.14129161834716797,68.95640563964844
37,D2,7.911271413167317,7.931717872619629,8.232912063598633,7.661502838134766,0.1901876031336001,0.5714092254638672,47.467628479003906
38,D20,6.860107421875,6.8670501708984375,6.983311176300049,6.730677127838135,0.07996786765143249,0.25263404846191406,82.3212890625
39,D21,6.818044662475586,6.818044662475586,6.840392589569092,6.795696258544922,0.022348165513356732,0.04469633102416992,13.636089324951172
40,D22,6.857235908508301,6.863978385925293,6.91790771484375,6.762369155883789,0.045773034048921184,0.15553855895996094,54.857887268066406
41,D23,6.882881927490234,6.886279582977295,6.892515659332275,6.866603851318359,0.008845516454767664,0.025911808013916016,34.41440963745117
42,D24,6.963430786132813,6.959157466888428,6.996285438537598,6.9318060874938965,0.022122668316752435,0.06447935104370117,34.81715393066406
43,D25,6.908943176269531,6.91146183013916,6.956945896148682,6.855902194976807,0.0366400930135768,0.101043701171875,27.635772705078125
44,D26,6.961756025041852,6.945160388946533,7.1165313720703125,6.88846492767334,0.05727288071581368,0.22806644439697266,194.92916870117188
45,D27,6.886175155639648,6.885091781616211,6.914525985717773,6.861131191253662,0.02043022295464758,0.05339479446411133,41.31705093383789
46,D3,7.616309718081825,7.633260726928711,8.308978080749512,6.929523944854736,0.39403755927604445,1.3794541358947754,144.7098846435547
47,D4,8.097808837890625,8.072220802307129,8.175209045410156,8.045995712280273,0.05576779140508385,0.1292133331298828,24.293426513671875
48,D5,8.156448364257812,8.190652847290039,8.390719413757324,7.8859405517578125,0.1631509285745419,0.5047788619995117,81.56448364257812
49,D6,7.905367851257324,7.829957962036133,8.190564155578613,7.770992279052734,0.16767588442122675,0.4195718765258789,31.621471405029297
50,D7,7.216365814208984,7.220812797546387,7.399878978729248,7.023959636688232,0.16986095515402833,0.3759193420410156,28.865463256835938
51,D8,7.609690856933594,7.536926746368408,7.972043991088867,7.368486404418945,0.2173960748203857,0.6035575866699219,38.04845428466797
52,D9,8.024490356445312,8.024490356445312,8.113259315490723,7.9357218742370605,0.08876872062715123,0.1775374412536621,16.048980712890625
53,Industrial and Commercial ,7.754255738976884,7.711138725280762,8.770821571350098,6.784046173095703,0.5837140013330592,1.9867753982543945,1132.121337890625
