,zone_id,mean,median,max,min,std,range,sum
0,A1,0.766252338886261,0.7666995525360107,0.8328195214271545,0.6987908482551575,0.04784012424359852,0.13402867317199707,3.065009355545044
1,A2,0.9913996060689291,0.971182107925415,1.072840690612793,0.9301761388778687,0.059971411016023934,0.14266455173492432,2.974198818206787
2,A3,0.7647993564605713,0.73903888463974,0.9168936014175415,0.6558634042739868,0.09848125789120815,0.2610301971435547,4.588796138763428
3,A4,0.7762590646743774,0.7613887786865234,0.8547376990318298,0.7275210022926331,0.049066422286721596,0.12721669673919678,3.1050362586975098
4,A5,0.7935566306114197,0.8028391003608704,0.8242455720901489,0.7443026900291443,0.03230889416707448,0.07994288206100464,3.1742265224456787
5,A6,0.7003128528594971,0.6878363490104675,0.7909432649612427,0.6553473472595215,0.045900444838615356,0.1355959177017212,4.201877117156982
6,A7,0.6857466697692871,0.6849029064178467,0.7238799333572388,0.6493010520935059,0.026822198873554512,0.07457888126373291,2.7429866790771484
7,A8,0.7845719456672668,0.7510443329811096,1.0416275262832642,0.6635848879814148,0.11843361807129281,0.37804263830184937,6.276575565338135
8,B1,0.9699194431304932,0.9723003506660461,1.0838541984558105,0.8512229323387146,0.09912809872269779,0.23263126611709595,3.8796777725219727
9,B10,0.7661238583651456,0.758603036403656,0.9179071187973022,0.6708902716636658,0.06489557658074607,0.24701684713363647,8.427362442016602
10,B11,0.7621155579884847,0.7535792589187622,0.8541437387466431,0.683864951133728,0.05141036150278948,0.17027878761291504,9.145386695861816
11,B12,0.64937957127889,0.6614751219749451,0.6633945107460022,0.6232692003250122,0.018479469204649452,0.04012531042098999,1.94813871383667
12,B2,0.9642013311386108,0.9642013311386108,1.0468376874923706,0.8815649747848511,0.08263635635375977,0.16527271270751953,1.9284026622772217
13,B3,0.879218339920044,0.8238725662231445,1.0113269090652466,0.8024555444717407,0.09382315896184558,0.20887136459350586,2.637655019760132
14,B4,0.7443254788716634,0.7501976490020752,0.8963249325752258,0.6296297907829285,0.06403374900232552,0.26669514179229736,17.863811492919922
15,B5,0.6489146947860718,0.6469725370407104,0.6711587309837341,0.6286128759384155,0.017423480054166662,0.042545855045318604,1.9467440843582153
16,B6,0.7036738762488732,0.6879923939704895,0.779113233089447,0.643706202507019,0.04665530114920598,0.13540703058242798,9.147760391235352
17,B7,0.6874065399169922,0.6894708275794983,0.7144215703010559,0.6710617542266846,0.01472350949647965,0.04335981607437134,4.811845779418945
18,B8,0.7566306591033936,0.7478806972503662,0.8149468302726746,0.7158142924308777,0.03940504722669806,0.09913253784179688,3.026522636413574
19,B9,0.7898649735884233,0.7812200784683228,0.9038316011428833,0.7240195274353027,0.045970408345299675,0.17981207370758057,8.688514709472656
20,C1,0.9347318808237711,0.8845068216323853,1.0769331455230713,0.8636428713798523,0.08183033122298308,0.213290274143219,5.608391284942627
21,C2,0.896655261516571,0.896655261516571,0.896655261516571,0.896655261516571,0.0,0.0,0.896655261516571
