,zone_id,mean_pollen,median_pollen,max_pollen,min_pollen,std_pollen,range_pollen,sum_pollen
0,A1,0.6236675002358176,0.6168510913848877,0.6892438530921936,0.5914432406425476,0.022187507727906165,0.097800612449646,13.720685005187988
1,A2,0.6247598528862,0.6233073472976685,0.6438595652580261,0.6130461692810059,0.009765367880166471,0.030813395977020264,4.9980788230896
2,B1,0.6483117421468099,0.6411231160163879,0.6776570081710815,0.6165778636932373,0.02097744213235903,0.06107914447784424,9.724676132202148
3,B10,0.6487916707992554,0.6406952142715454,0.6775190234184265,0.6362574100494385,0.016685467360032326,0.04126161336898804,2.5951666831970215
4,B11,0.6131969094276428,0.6131969094276428,0.6131969094276428,0.6131969094276428,0.0,0.0,0.6131969094276428
5,B2,0.6784399350484213,0.6735537052154541,0.7395911812782288,0.6323328614234924,0.030490630996217637,0.10725831985473633,8.141279220581055
6,B3,0.6376176940070258,0.6359261274337769,0.656184732913971,0.616263747215271,0.01252660829553303,0.03992098569869995,5.738559246063232
7,B4,0.675745964050293,0.675745964050293,0.675745964050293,0.675745964050293,0.0,0.0,0.675745964050293
8,B5,0.7123000998246042,0.709335207939148,0.8226049542427063,0.6187933683395386,0.03625286685741505,0.20381158590316772,27.06740379333496
9,B6,0.670901894569397,0.670901894569397,0.6787722110748291,0.6630315780639648,0.007870316505432129,0.015740633010864258,1.341803789138794
10,B7,0.6810398101806641,0.6810398101806641,0.6810398101806641,0.6810398101806641,0.0,0.0,0.6810398101806641
11,B8,0.7265687783559164,0.7181309461593628,0.7894091606140137,0.6930378079414368,0.033583759702938025,0.0963713526725769,4.359412670135498
12,B9,0.6752884387969971,0.6670467257499695,0.7264231443405151,0.6563656330108643,0.023639213582731296,0.07005751132965088,4.051730632781982
13,C1,0.6935632705688477,0.6947758793830872,0.7416995167732239,0.6303679347038269,0.0273959088684173,0.11133158206939697,13.871265411376953
14,C10,0.6873534244039784,0.6766166090965271,0.7722941040992737,0.6306514143943787,0.03845281840965241,0.14164268970489502,15.809128761291504
15,C11,0.7160240320058969,0.7089070677757263,0.7782305479049683,0.6772178411483765,0.028649796888946644,0.1010127067565918,9.30831241607666
16,C12,0.6161502293178014,0.6115273237228394,0.7827051877975464,0.5309828519821167,0.04962508722589526,0.2517223358154297,43.130516052246094
17,C13,0.5853169759114584,0.581173837184906,0.6160178780555725,0.5638865828514099,0.01601084815577281,0.0521312952041626,7.0238037109375
18,C14,0.6516537136501737,0.6481305360794067,0.6792830228805542,0.6313987374305725,0.015575544872751455,0.04788428544998169,11.729766845703125
19,C15,0.6596123377482096,0.6557224988937378,0.7287412285804749,0.6265049576759338,0.021298961650304954,0.10223627090454102,19.78837013244629
20,C16,0.6490171551704407,0.645083487033844,0.6943544149398804,0.6280532479286194,0.016551254690727726,0.06630116701126099,10.38427448272705
21,C17,0.671917978922526,0.6714304089546204,0.714085578918457,0.6308947205543518,0.021793006081081423,0.08319085836410522,10.07876968383789
22,C18,0.6616722651890345,0.6600236296653748,0.7156429886817932,0.6225913166999817,0.02410467172007822,0.09305167198181152,23.15852928161621
23,C19,0.645305315653483,0.643425703048706,0.6908453702926636,0.6158583760261536,0.01650460639600728,0.07498699426651001,23.23099136352539
24,C2,0.6782063961029052,0.6654966473579407,0.7371193170547485,0.6524751782417297,0.02640852777555836,0.0846441388130188,13.564127922058105
25,C20,0.6756928563117981,0.6756928563117981,0.6756928563117981,0.6756928563117981,0.0,0.0,0.6756928563117981
26,C21,0.6584840832334576,0.6544086933135986,0.7133167386054993,0.6212775707244873,0.024342118019497084,0.09203916788101196,21.7299747467041
27,C22,0.644631550229829,0.6402726173400879,0.714634120464325,0.6110031008720398,0.024901259773122686,0.10363101959228516,18.69431495666504
28,C23,0.5697932773166232,0.5674099326133728,0.5996776223182678,0.5486528873443604,0.01397346864758861,0.05102473497390747,5.128139495849609
29,C3,0.6910619735717773,0.6871739625930786,0.7605776786804199,0.6429497003555298,0.028331659237904712,0.11762797832489014,16.585487365722656
30,C4,0.7418337735262784,0.7389137148857117,0.7901002764701843,0.6958290338516235,0.028897550583514977,0.09427124261856079,8.160171508789062
31,C5,0.7252350330352784,0.7224897742271423,0.7572042346000671,0.6928358674049377,0.016547493138272,0.0643683671951294,7.252350330352783
32,C6,0.8500164985656739,0.8466891050338745,0.9141120314598083,0.7771815657615662,0.044454871849357196,0.1369304656982422,4.250082492828369
33,C7,0.6280895709991455,0.6109204292297363,0.7082522511482239,0.5814347863197327,0.040026339687003545,0.1268174648284912,6.280895709991455
34,C8,0.6557475328445435,0.6451627612113953,0.696011483669281,0.6230198740959167,0.024417053641221303,0.07299160957336426,5.245980262756348
35,C9,0.6875335693359375,0.6807671189308167,0.746907651424408,0.6615645289421082,0.020651659077669436,0.0853431224822998,17.188339233398438
36,D1,0.6488077887173357,0.6446871161460876,0.6968054175376892,0.6327788233757019,0.013584123519641264,0.0640265941619873,18.815425872802734
37,D2,0.7116984317177221,0.7130282521247864,0.7448561787605286,0.6634877920150757,0.020530073639640777,0.08136838674545288,13.522270202636719
38,D3,0.6960621613722581,0.6987420320510864,0.7395908832550049,0.6628114581108093,0.021164342674894112,0.07677942514419556,9.048808097839355
39,D4,0.7080849011739095,0.707813024520874,0.7505123019218445,0.6774923205375671,0.020996964832450758,0.07301998138427734,16.994037628173828
40,D5,0.6898815631866455,0.6880360841751099,0.7600800395011902,0.6295032501220703,0.025139106551451483,0.13057678937911987,16.557157516479492
