,zone_id,mean_pollen,median_pollen,max_pollen,min_pollen,std_pollen,range_pollen,sum_pollen
0,A1,23.76542247425426,23.79030990600586,24.9515380859375,22.416866302490234,0.6766599328190818,2.5346717834472656,522.8392944335938
1,A2,23.370830535888672,23.140596389770508,24.544841766357422,22.809551239013672,0.6533540541005517,1.73529052734375,186.96664428710938
2,B1,24.207198079427084,24.084020614624023,25.10804557800293,23.602811813354492,0.4082753003303484,1.5052337646484375,363.10797119140625
3,B10,25.81454086303711,25.83465576171875,25.974166870117188,25.61468505859375,0.1619789436317384,0.3594818115234375,103.25816345214844
4,B11,26.897296905517578,26.897296905517578,26.897296905517578,26.897296905517578,0.0,0.0,26.897296905517578
5,B2,23.059061686197918,23.043170928955078,23.429357528686523,22.513118743896484,0.25865479999604046,0.9162387847900391,276.708740234375
6,B3,26.036134507921005,26.104867935180664,26.421585083007812,25.58148765563965,0.28495944651206007,0.8400974273681641,234.32521057128906
7,B4,23.335792541503906,23.335792541503906,23.335792541503906,23.335792541503906,0.0,0.0,23.335792541503906
8,B5,23.254694888466283,23.523155212402344,26.06084442138672,20.40689468383789,1.2675250649458907,5.653949737548828,883.6784057617188
9,B6,23.175762176513672,23.175762176513672,23.317991256713867,23.033531188964844,0.142230033877709,0.28446006774902344,46.351524353027344
10,B7,22.61293601989746,22.61293601989746,22.61293601989746,22.61293601989746,0.0,0.0,22.61293601989746
11,B8,22.868995666503906,22.89832305908203,23.319612503051758,22.458927154541016,0.34476542738676585,0.8606853485107422,137.21397399902344
12,B9,22.535263061523438,22.50853729248047,22.91797637939453,22.119220733642578,0.2970254877640953,0.7987556457519531,135.21157836914062
13,C1,22.95661315917969,22.89310646057129,24.333250045776367,21.992055892944336,0.5655030082386412,2.3411941528320312,459.13226318359375
14,C10,25.36578899881114,25.10672950744629,27.06429672241211,23.8238525390625,0.8740803594000361,3.2404441833496094,583.4131469726562
15,C11,25.718782865084133,25.936399459838867,27.006023406982422,23.915945053100586,0.8170054875220347,3.090078353881836,334.34417724609375
16,C12,27.57128208705357,27.2606201171875,30.335664749145508,25.200288772583008,1.1531863676120684,5.1353759765625,1929.98974609375
17,C13,27.674705505371094,27.646207809448242,29.153438568115234,26.57183837890625,0.7922323442702134,2.5816001892089844,332.0964660644531
18,C14,26.342722574869793,26.60953140258789,27.214887619018555,24.625253677368164,0.8481848019933456,2.5896339416503906,474.16900634765625
19,C15,26.596976725260415,26.678516387939453,27.841039657592773,24.729434967041016,0.7018661917863724,3.111604690551758,797.9093017578125
20,C16,25.342119216918945,25.37545394897461,25.832435607910156,24.742839813232422,0.3041612864557299,1.0895957946777344,405.4739074707031
21,C17,26.64412841796875,26.42007064819336,28.0340518951416,25.762685775756836,0.6573841887368229,2.2713661193847656,399.66192626953125
22,C18,25.478812081473215,25.44446563720703,26.357566833496094,24.34902000427246,0.5181758816863007,2.008546829223633,891.7584228515625
23,C19,26.633466932508682,26.732906341552734,27.12623405456543,25.4517822265625,0.3766023110738479,1.6744518280029297,958.8048095703125
24,C2,22.023980712890626,22.229381561279297,22.895780563354492,20.295305252075195,0.7556867935640359,2.600475311279297,440.4796142578125
25,C20,26.471147537231445,26.471147537231445,26.471147537231445,26.471147537231445,0.0,0.0,26.471147537231445
26,C21,27.339703184185606,27.409700393676758,28.9675235748291,25.43395233154297,0.9993757040912774,3.533571243286133,902.210205078125
27,C22,27.26653000404095,27.227825164794922,28.42424774169922,26.11203384399414,0.5465362589932031,2.312213897705078,790.7293701171875
28,C23,29.798404269748264,29.85928726196289,30.418296813964844,29.280860900878906,0.339469996289151,1.1374359130859375,268.1856384277344
29,C3,22.16839090983073,22.182228088378906,22.907489776611328,20.482969284057617,0.4623808325434953,2.424520492553711,532.0413818359375
30,C4,22.233645352450285,22.397470474243164,22.902814865112305,21.087644577026367,0.5647862913541482,1.8151702880859375,244.57009887695312
31,C5,22.177484130859376,22.17987060546875,22.60296630859375,21.710418701171875,0.22152482942112803,0.892547607421875,221.77484130859375
32,C6,24.969253540039062,25.153745651245117,25.42714500427246,24.033161163330078,0.5017487128327158,1.3939838409423828,124.84626770019531
33,C7,25.5342041015625,25.74151039123535,26.75392723083496,24.383453369140625,0.8097956926576106,2.370473861694336,255.342041015625
34,C8,24.519804000854492,24.44204330444336,24.77519416809082,24.348960876464844,0.16025213371211308,0.42623329162597656,196.15843200683594
35,C9,24.36532958984375,24.47787094116211,24.974517822265625,23.393957138061523,0.43601747552416326,1.5805606842041016,609.1332397460938
36,D1,26.478612439385778,26.462772369384766,27.082563400268555,25.96112823486328,0.25247501014662077,1.1214351654052734,767.8797607421875
37,D2,23.61994211297286,23.56903076171875,24.27467155456543,22.931385040283203,0.4187284272775971,1.3432865142822266,448.7789001464844
38,D3,23.60472459059495,23.703369140625,24.110366821289062,22.701799392700195,0.42892186459439385,1.4085674285888672,306.8614196777344
39,D4,23.023053487141926,23.070173263549805,23.542667388916016,22.316118240356445,0.3149194155953028,1.2265491485595703,552.5532836914062
40,D5,23.921117146809895,23.910367965698242,24.445444107055664,23.203439712524414,0.28995772245868556,1.24200439453125,574.1068115234375
41,D6,23.421662902832033,23.43152618408203,24.296131134033203,22.588157653808594,0.4248109503284716,1.7079734802246094,936.8665161132812
42,D7,26.472481863839285,26.31793975830078,28.752044677734375,24.225744247436523,1.131212284330732,4.526300430297852,741.2294921875
43,E1,25.138032913208008,25.19147491455078,25.5980224609375,24.498332977294922,0.367956524858695,1.0996894836425781,201.10426330566406
44,Industrial,24.726125616776315,24.55459213256836,27.703516006469727,21.32586097717285,1.509922980007726,6.377655029296875,2348.98193359375
45,Commercial,24.08292180841619,24.00843048095703,25.764739990234375,22.447851181030273,1.0922959845774496,3.3168888092041016,264.9121398925781
