,zone_id,mean,median,max,min,std,range,sum
0,A1,6.700017062100497,6.658396244049072,6.906985759735107,6.586338996887207,0.10440969957592937,0.3206467628479004,147.40037536621094
1,A2,6.7990193367004395,6.771784782409668,6.968957901000977,6.669918537139893,0.10947769546185684,0.299039363861084,54.392154693603516
2,B1,6.6776479085286455,6.677608013153076,6.740461349487305,6.623148441314697,0.026395689459008068,0.11731290817260742,100.16471862792969
3,B10,7.174507141113281,7.206840515136719,7.292953968048096,6.991393566131592,0.11824659811984346,0.3015604019165039,28.698028564453125
4,B11,7.218055725097656,7.218055725097656,7.218055725097656,7.218055725097656,0.0,0.0,7.218055725097656
5,B2,7.124502182006836,7.108625888824463,7.338441371917725,6.913140773773193,0.11390093800048111,0.42530059814453125,85.49402618408203
6,B3,6.757284800211589,6.730819225311279,6.93575382232666,6.64273738861084,0.0952621827611597,0.2930164337158203,60.8155632019043
7,B4,7.291130065917969,7.291130065917969,7.291130065917969,7.291130065917969,0.0,0.0,7.291130065917969
8,B5,7.4415821276213,7.363559246063232,8.120194435119629,6.8353142738342285,0.28963845590286347,1.2848801612854004,282.7801208496094
9,B6,7.449162483215332,7.449162483215332,7.487326145172119,7.410999298095703,0.038163423538952745,0.07632684707641602,14.898324966430664
10,B7,7.581037998199463,7.581037998199463,7.581037998199463,7.581037998199463,0.0,0.0,7.581037998199463
11,B8,7.5397389729817705,7.536590576171875,7.659479141235352,7.425931453704834,0.08527929959358063,0.23354768753051758,45.238433837890625
12,B9,7.456472396850586,7.455075740814209,7.499469757080078,7.403368949890137,0.02906508429033912,0.0961008071899414,44.738834381103516
13,C1,7.398082733154297,7.428153991699219,7.598230361938477,7.041623592376709,0.16263509563311304,0.5566067695617676,147.96165466308594
14,C10,7.38971876061481,7.302112102508545,8.006999969482422,6.8284196853637695,0.3324740232812767,1.1785802841186523,169.96353149414062
15,C11,7.427726745605469,7.413503170013428,7.610152721405029,7.267241954803467,0.11875562263847796,0.3429107666015625,96.5604476928711
16,C12,6.775998796735491,6.658089637756348,8.015538215637207,6.394925117492676,0.3698274191972985,1.6206130981445312,474.3199157714844
17,C13,6.614948272705078,6.583921432495117,6.744072437286377,6.495810508728027,0.08245129261998861,0.2482619285583496,79.37937927246094
18,C14,7.0452757941351996,6.992480278015137,7.401808261871338,6.879052639007568,0.16217606485997055,0.5227556228637695,126.8149642944336
19,C15,7.334377034505208,7.40826416015625,7.548297882080078,7.005895137786865,0.1722703731531529,0.5424027442932129,220.03131103515625
20,C16,7.015378952026367,7.015114784240723,7.126140117645264,6.9292216300964355,0.042777062351389235,0.19691848754882812,112.24606323242188
21,C17,6.980142211914062,6.994770526885986,7.0638933181762695,6.860981464385986,0.05965997922462932,0.2029118537902832,104.70213317871094
22,C18,6.9989990234375,7.005939483642578,7.126258850097656,6.820984363555908,0.07611806496007387,0.30527448654174805,244.9649658203125
23,C19,6.9426159328884545,6.901368141174316,7.272985935211182,6.724273681640625,0.16897210134968263,0.5487122535705566,249.93417358398438
24,C2,7.624668884277344,7.548161506652832,8.263376235961914,7.356813907623291,0.21650835771195992,0.906562328338623,152.49337768554688
25,C20,6.948505878448486,6.948505878448486,6.948505878448486,6.948505878448486,0.0,0.0,6.948505878448486
26,C21,7.18715644605232,7.185164928436279,7.62216854095459,6.685052871704102,0.24007217757636623,0.9371156692504883,237.17616271972656
27,C22,6.95233259529903,6.858155250549316,7.515956401824951,6.682053565979004,0.22361816387950817,0.8339028358459473,201.61764526367188
28,C23,6.592209710015191,6.610263347625732,6.622988224029541,6.4840288162231445,0.041573582134374246,0.13895940780639648,59.32988739013672
29,C3,7.630942662556966,7.591996192932129,7.976538181304932,7.446685314178467,0.12263385790641344,0.5298528671264648,183.1426239013672
30,C4,7.888157931241122,7.909822940826416,8.172661781311035,7.6696882247924805,0.1715724745113717,0.5029735565185547,86.76973724365234
31,C5,7.7385200500488285,7.737743854522705,7.784690856933594,7.697589874267578,0.028811321331945132,0.08710098266601562,77.38520050048828
32,C6,8.763725280761719,8.721003532409668,9.288138389587402,8.281596183776855,0.36507911700010925,1.0065422058105469,43.818626403808594
33,C7,6.821712493896484,6.74943208694458,7.392340660095215,6.487991809844971,0.2993094645263464,0.9043488502502441,68.21712493896484
34,C8,7.025265216827393,7.013228416442871,7.093994617462158,6.981163024902344,0.04232381680498078,0.11283159255981445,56.20212173461914
35,C9,7.321646118164063,7.279138565063477,7.751102924346924,7.072251319885254,0.17534769161644076,0.6788516044616699,183.04115295410156
36,D1,6.926354770002694,6.932699203491211,7.0171895027160645,6.83756160736084,0.040377173262891315,0.1796278953552246,200.86428833007812
37,D2,7.391552573756168,7.372799396514893,7.768249988555908,6.989073753356934,0.23193139780746308,0.7791762351989746,140.4394989013672
38,D3,7.3928997333233175,7.47349214553833,7.756365776062012,6.960056781768799,0.254000194321029,0.7963089942932129,96.10769653320312
39,D4,7.541019439697266,7.516632080078125,8.058122634887695,7.213103771209717,0.20922188223025506,0.8450188636779785,180.98446655273438
40,D5,7.319923400878906,7.293479919433594,7.732769966125488,6.9627251625061035,0.1771365912337652,0.7700448036193848,175.67816162109375
41,D6,7.894931793212891,7.816585063934326,8.820830345153809,7.38696813583374,0.37277984241752654,1.4338622093200684,315.7972717285156
42,D7,6.736839294433594,6.711601257324219,7.532750606536865,6.385191917419434,0.279460082332113,1.1475586891174316,188.63150024414062
43,E1,7.09119987487793,7.080865859985352,7.163287162780762,7.029845237731934,0.04798288521700849,0.13344192504882812,56.72959899902344
