,zone_id,mean,median,max,min,std,range,sum
0,A1,21.278647682883523,21.111278533935547,23.344030380249023,19.988279342651367,0.9329453619639267,3.3557510375976562,468.1302490234375
1,A2,21.159202575683594,21.085704803466797,22.881820678710938,20.025094985961914,0.9260837245976238,2.8567256927490234,169.27362060546875
2,B1,21.32530517578125,21.325233459472656,22.119873046875,20.11132049560547,0.5476464976468586,2.0085525512695312,319.87957763671875
3,B10,23.351924896240234,23.15743637084961,24.69351577758789,22.399309158325195,0.846857086837936,2.2942066192626953,93.40769958496094
4,B11,20.34830093383789,20.34830093383789,20.34830093383789,20.34830093383789,0.0,0.0,20.34830093383789
5,B2,24.99781036376953,25.02817153930664,26.0798282623291,23.806020736694336,0.7127386788943253,2.2738075256347656,299.9737243652344
6,B3,21.04632568359375,21.390419006347656,22.13098907470703,20.115543365478516,0.7200665122221833,2.0154457092285156,189.41693115234375
7,B4,25.35942268371582,25.35942268371582,25.35942268371582,25.35942268371582,0.0,0.0,25.35942268371582
8,B5,27.5772705078125,26.786623001098633,32.99161148071289,20.693145751953125,2.9985910219858387,12.298465728759766,1047.936279296875
9,B6,27.453502655029297,27.453502655029297,27.896913528442383,27.010089874267578,0.4434118270884279,0.8868236541748047,54.907005310058594
10,B7,28.417572021484375,28.417572021484375,28.417572021484375,28.417572021484375,0.0,0.0,28.417572021484375
11,B8,28.799031575520832,28.866832733154297,29.57002067565918,27.715641021728516,0.7209463964780997,1.854379653930664,172.794189453125
12,B9,28.289632161458332,28.332889556884766,29.93240737915039,27.02874183654785,1.008313321902882,2.903665542602539,169.73779296875
13,C1,26.73385009765625,27.129180908203125,29.048097610473633,22.996366500854492,1.6569104372711,6.051731109619141,534.677001953125
14,C10,25.659805961277176,26.2315731048584,28.370140075683594,21.941673278808594,1.7763114555261905,6.428466796875,590.175537109375
15,C11,24.88536893404447,24.50119400024414,27.24275779724121,23.100021362304688,1.1206585490942509,4.142736434936523,323.5097961425781
16,C12,21.742843191964287,21.920093536376953,26.98927879333496,17.34629249572754,1.933725757206519,9.642986297607422,1521.9990234375
17,C13,21.14069112141927,21.243228912353516,23.466482162475586,18.496707916259766,1.574417529269063,4.96977424621582,253.68829345703125
18,C14,24.058130900065105,23.558242797851562,27.392940521240234,22.023956298828125,1.5866932337395994,5.368984222412109,433.0463562011719
19,C15,23.271280924479168,23.087646484375,26.15559196472168,21.012632369995117,1.2718859736759032,5.1429595947265625,698.138427734375
20,C16,24.32164764404297,24.375707626342773,24.969648361206055,23.36678695678711,0.4782673171570754,1.6028614044189453,389.1463623046875
21,C17,22.66530558268229,22.887269973754883,24.027339935302734,20.811513900756836,0.8331465371303708,3.2158260345458984,339.9795837402344
22,C18,23.856685965401784,23.95005226135254,25.08485984802246,21.97334861755371,0.7311752165034383,3.11151123046875,834.9840087890625
23,C19,22.719940185546875,22.430004119873047,26.416656494140625,21.487064361572266,0.8138461676200008,4.929592132568359,817.9178466796875
24,C2,29.417886352539064,29.01718521118164,32.846004486083984,26.266494750976562,1.6464128286168793,6.579509735107422,588.3577270507812
25,C20,23.196388244628906,23.196388244628906,23.196388244628906,23.196388244628906,0.0,0.0,23.196388244628906
26,C21,22.468827681107953,22.41729164123535,25.134077072143555,19.07193374633789,1.6777404970500993,6.062143325805664,741.4713134765625
27,C22,21.42584649447737,21.44048500061035,22.988880157470703,19.691970825195312,0.9405581816857561,3.2969093322753906,621.3495483398438
28,C23,17.931620279947918,17.986248016357422,18.649232864379883,16.657093048095703,0.5678315354760213,1.9921398162841797,161.38458251953125
29,C3,30.068565368652344,30.104087829589844,32.79377746582031,28.261930465698242,0.9129106193702473,4.53184700012207,721.6455688476562
30,C4,29.89066661487926,29.760374069213867,31.706628799438477,28.327205657958984,0.9702058569243207,3.379423141479492,328.7973327636719
31,C5,30.236282348632812,30.302417755126953,31.44811248779297,28.72483253479004,0.7212040018398507,2.7232799530029297,302.3628234863281
32,C6,26.927932739257812,26.575756072998047,28.274049758911133,26.14002799987793,0.7452243936654188,2.134021759033203,134.63966369628906
33,C7,23.991436767578126,23.402488708496094,27.083131790161133,22.1379451751709,1.692210698435188,4.945186614990234,239.91436767578125
34,C8,26.126049041748047,25.996788024902344,26.837247848510742,25.47928810119629,0.5024801514810366,1.3579597473144531,209.00839233398438
35,C9,26.9330078125,26.805620193481445,29.090967178344727,25.589183807373047,0.7316014914748518,3.5017833709716797,673.3251953125
36,D1,23.30107590247845,23.429826736450195,24.501283645629883,21.801401138305664,0.6099590889385991,2.6998825073242188,675.731201171875
37,D2,27.657862613075658,28.12405776977539,29.407276153564453,25.10293960571289,1.138944161170585,4.3043365478515625,525.4993896484375
38,D3,26.99518761268029,27.158002853393555,29.01398277282715,24.62725067138672,1.347146938124511,4.38673210144043,350.93743896484375
39,D4,28.19115702311198,28.080610275268555,29.83426856994629,26.669607162475586,0.8330284022189303,3.164661407470703,676.5877685546875
40,D5,27.305689493815105,27.449871063232422,28.670574188232422,23.26443862915039,1.2137524343259722,5.406135559082031,655.3365478515625
41,D6,28.534088134765625,28.353900909423828,29.71492576599121,27.429744720458984,0.6150109713550944,2.2851810455322266,1141.363525390625
42,D7,22.360386439732142,21.85846710205078,25.78410530090332,19.741201400756836,1.8766666095473947,6.042903900146484,626.0908203125
43,E1,24.726776123046875,24.748226165771484,25.288806915283203,23.932907104492188,0.4679185633057021,1.3558998107910156,197.814208984375
44,Industrial,26.801670435855264,27.228164672851562,30.843246459960938,20.074234008789062,2.1531654812130965,10.769012451171875,2546.15869140625
45,Commercial,26.61510398171165,24.752460479736328,30.87025260925293,23.96921157836914,2.5423665955190957,6.901041030883789,292.7661437988281
