"status","spc_latin","spc_common","boroname","latitude","longitude"
"Alive","Pyrus calleryana","Callery pear","Bronx","40.87395035","-73.88131029"
"Alive","Pyrus calleryana","Callery pear","Bronx","40.87384782","-73.88122629"
"Alive","Acer platanoides","Norway maple","Bronx","40.85595972","-73.89055519"
"Alive","Acer platanoides","Norway maple","Bronx","40.84993597","-73.89012718"
"Alive","Liquidambar styraciflua","sweetgum","Bronx","40.85239923","-73.90097471"
"Alive","Acer platanoides","Norway maple","Bronx","40.89126258","-73.83389144"
"Alive","Acer platanoides","Norway maple","Bronx","40.89033389","-73.83412948"
"Alive","Acer platanoides","Norway maple","Bronx","40.84771733","-73.89470051"
"Alive","Pseudotsuga menziesii","Douglas-fir","Bronx","40.85237441","-73.88430921"
"Alive","Lagerstroemia","crepe myrtle","Bronx","40.83711137","-73.87007198"
"Alive","Acer platanoides","Norway maple","Bronx","40.85493685","-73.85373917"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.85187619","-73.90372875"
"Alive","Acer rubrum","red maple","Bronx","40.84744348","-73.89566027"
"Alive","Acer rubrum","red maple","Bronx","40.847282","-73.89574171"
"Alive","Platanus x acerifolia","London planetree","Bronx","40.8736894","-73.88108232"
"Alive","Platanus x acerifolia","London planetree","Bronx","40.84803964","-73.88735007"
"Alive","Acer platanoides","Norway maple","Bronx","40.8512498","-73.88401332"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.85927772","-73.89241843"
"Alive","Acer platanoides","Norway maple","Bronx","40.85481968","-73.85364787"
"Alive","Acer platanoides","Norway maple","Bronx","40.84627025","-73.82332818"
"Alive","Zelkova serrata","Japanese zelkova","Bronx","40.85802508","-73.89000654"
"Alive","Acer platanoides","Norway maple","Bronx","40.84973665","-73.88898857"
"Alive","Acer platanoides","Norway maple","Bronx","40.85156888","-73.89339897"
"Alive","Pseudotsuga menziesii","Douglas-fir","Bronx","40.89188774","-73.83449253"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.84643289","-73.91723552"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.85599773","-73.8842284"
"Alive","Tilia cordata","littleleaf linden","Bronx","40.85697779","-73.88431865"
"Alive","Tilia cordata","littleleaf linden","Bronx","40.85510769","-73.89269135"
"Alive","Tilia americana","American linden","Bronx","40.84786663","-73.90712809"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.84702153","-73.91659243"
"Alive","Acer platanoides","Norway maple","Bronx","40.83672851","-73.8687519"
"Alive","Zelkova serrata","Japanese zelkova","Bronx","40.84768265","-73.89354118"
"Alive","Juniperus virginiana","eastern redcedar","Bronx","40.84630433","-73.82432089"
"Alive","Acer saccharinum","silver maple","Bronx","40.83343874","-73.8921472"
"Alive","Tilia cordata","littleleaf linden","Bronx","40.87015044","-73.90044669"
"Alive","Tilia cordata","littleleaf linden","Bronx","40.84477292","-73.88252053"
